Ano,Producao_Litros,Comercializacao_Litros,Processamento_Kg,Exportacao_Litros,Importacao_Litros,Balanca_Comercial,Taxa_Exportacao,Eficiencia_Comercial,Consumo_Aparente
2009,683643528,679550353,143410052.0,25514198,55926957,-30412759,3.7320909150770167,99.4012705697698,714056287
2010,642820786,643306862,91475906.0,1280574,70737868,-69457294,0.19921166643793004,100.07561609869909,712278080
2011,921104534,672553986,164809206.0,1214834,72705225,-71490391,0.13188883076326274,73.01603251037737,992594925
2012,857603200,643569389,151646074.0,5775376,74209440,-68434064,0.6734321886858632,75.04279240096119,926037264
2013,743277338,720817130,147627520.0,9149059,67954436,-58805377,1.2309078364501407,96.97821972341634,802082715
2014,748536510,687248805,131159722.0,2324029,76910155,-74586126,0.3104763720877155,91.81232923428144,823122636
2015,885403428,712369284,140132408.0,1198479,77686474,-76487995,0.1353596521200729,80.45702800238085,961891423
2016,401100688,583810281,64280464.0,1786549,88345068,-86558519,0.4454116019865815,145.55205175813612,487659207
2017,971663578,610735252,153818256.0,2889572,118330745,-115441173,0.29738399847688846,62.85459966062451,1087104751
2018,835505726,648636606,131181340.0,3856162,109971001,-106114839,0.46153627437856726,77.63401085296692,941620565
2019,805878516,833736865,0.0,3152873,114175423,-111022550,0.3912342787904772,103.45689188220027,916901066
2020,637024382,892823595,138015442.0,4409717,147135137,-142725420,0.6922367690472482,140.15532532630752,779749802
2021,974677500,915939652,329125652.0,8058673,154690551,-146631878,0.8268040454406714,93.97361198960682,1121309378
2022,893707427,892181335,0.0,7023479,147600655,-140577176,0.7858812389616631,99.82924031356404,1034284603
2023,915585740,903876940,4512917.0,5538888,137712871,-132173983,0.6049556866187104,98.72116837468438,1047759723
